,Max Sharpe,Min CVaR,Max STARR
BNP,-1.5176840906747417e-23,8.314514639010707e-11,1.6576290059571902e-08
Airbus,0.12942288889660414,0.08692260333423914,0.08692262650735061
Deutsche,0.2731887068424626,0.3039388110731838,0.3039388498190047
Enel,0.20890991752869395,0.26955566495966854,0.26955557268836705
LVMH,0.03941478559687772,0.07846995008824917,0.07846993047632815
Sanofi,0.34906370113536145,0.261112970461514,0.26111300393265946
