Date,BNP,Airbus,Deutsche,Enel,LVMH,Sanofi
1999-11-03,0.7878,0.14842968593718744,0.9372,0.4817598938757462,0.907,0.9252
1999-11-04,0.8754,0.7229445889177836,0.9722,0.4757904045987177,0.7878,0.9556
1999-11-05,0.0808,0.39227845569113823,0.3112,0.4519124474906036,0.816,0.9902
1999-11-08,0.4196,0.11062212442488498,0.2644,0.38359495909794383,0.4108,0.3658
1999-11-09,0.8442,0.42008401680336066,0.9428,0.47269511386248064,0.3096,0.154
1999-11-10,0.938,0.4368873774754951,0.676,0.5144815388016803,0.4858,0.0238
1999-11-11,0.9366,0.40968193638727746,0.95,0.4638514260446606,0.5616,0.7912
1999-11-12,0.2424,0.10822164432886577,0.4904,0.49966836170683177,0.5036,0.6824
1999-11-15,0.7928,0.03960792158431686,0.8394,0.576166261330975,0.5706,0.5384
1999-11-16,0.7876,0.7033406681336267,0.39,0.5043112978111872,0.8768,0.5412
1999-11-17,0.1024,0.42468493698739745,0.3636,0.9367676321025867,0.8552,0.0666
1999-11-18,0.1956,0.21304260852170434,0.9698,0.6062347999115631,0.5454,0.363
1999-11-19,0.7762,0.15743148629725945,0.9686,0.31218217996904707,0.7988,0.2692
1999-11-22,0.172,0.3806761352270454,0.1856,0.1472474021667035,0.128,0.0636
1999-11-23,0.6446,0.7217443488697739,0.6848,0.46716780897634314,0.4572,0.4994
1999-11-24,0.1218,0.48489697939587917,0.2812,0.7731594074729162,0.5602,0.6514
1999-11-25,0.8372,0.6245249049809962,0.9946,0.8452354631881495,0.588,0.921
1999-11-26,0.3052,0.02480496099219844,0.7784,0.22573513154985628,0.492,0.0832
1999-11-29,0.4918,0.9713942788557711,0.106,0.417643157196551,0.2922,0.795
1999-11-30,0.9072,0.7723544708941789,0.601,0.9876188370550519,0.1382,0.1086
1999-12-01,0.1626,0.9683936787357471,0.301,0.2022993588326332,0.9774,0.6436
1999-12-02,0.2594,0.0628125625125025,0.422,0.6281229272606677,0.3706,0.7994
1999-12-03,0.9066,0.9325865173034606,0.9924,0.03780676542118063,0.8254,0.8038
1999-12-06,0.5034,0.17483496699339868,0.2988,0.3404819809860712,0.8932,0.0516
1999-12-07,0.8102,0.28405681136227245,0.4814,0.137298253371656,0.646,0.4734
1999-12-08,0.346,0.9367873574714943,0.4134,0.0017687375635640063,0.398,0.919
1999-12-09,0.5142,0.016403280656131225,0.6644,0.9661728940968384,0.75,0.0612
1999-12-10,0.6308,0.6979395879175835,0.1552,0.5423391554278134,0.1636,0.0732
1999-12-13,0.5086,0.829365873174635,0.146,0.9531284545655538,0.6796,0.5428
1999-12-14,0.5762,0.13442688537707542,0.9202,0.420296263541897,0.2216,0.5542
1999-12-15,0.1672,0.136627325465093,0.2906,0.04090205615741764,0.7222,0.7806
1999-12-16,0.8014,0.5079015803160633,0.4358,0.9108998452354632,0.54,0.2096
1999-12-17,0.0132,0.5161032206441288,0.3594,0.2332522661950033,0.9998,0.0042
1999-12-20,0.3068,0.6305261052210442,0.9916,0.586778686712359,0.3104,0.9304
1999-12-21,0.6836,0.6769353870774155,0.6572,0.04665045323900066,0.9384,0.1074
1999-12-22,0.6666,0.12162432486497299,0.9956,0.6106566438204731,0.8904,0.852
1999-12-23,0.9026,0.9339867973594719,0.853,0.7424275923059916,0.8666,0.3734
1999-12-27,0.384,0.7105421084216843,0.6964,0.2849878399292505,0.4688,0.2888
1999-12-28,0.3484,0.380876175235047,0.3976,0.6842803449038249,0.7066,0.2892
1999-12-29,0.748,0.6547309461892379,0.4374,0.3086447048419191,0.7132,0.9416
1999-12-30,0.361,0.7475495099019804,0.9464,0.6584125580367013,0.8004,0.9118
2000-01-03,0.768,0.11402280456091218,0.1902,0.024762325889896086,0.4684,0.1258
2000-01-04,0.026,0.46369273854770954,0.0748,0.06721202741543224,0.0008,0.016
2000-01-05,0.0766,0.2978595719143829,0.1386,0.27901835065222197,0.1684,0.0812
2000-01-06,0.0238,0.046409281856371276,0.0122,0.9235021003758568,0.3716,0.8892
2000-01-07,0.753,0.74874974994999,0.9632,0.5001105460977228,0.5048,0.9422
2000-01-10,0.6458,0.9921984396879376,0.7738,0.09263762989166482,0.9038,0.2498
2000-01-11,0.0226,0.10242048409681936,0.4564,0.20318372761441522,0.7354,0.6628
2000-01-12,0.6864,0.8185637127425485,0.847,0.9557815609108998,0.9186,0.2246
2000-01-13,0.441,0.1254250850170034,0.5134,0.10745080698651338,0.9574,0.407
2000-01-14,0.8346,0.9275855171034206,0.946,0.9845235463188149,0.8762,0.929
2000-01-17,0.2958,0.5675135027005401,0.831,0.21843908910015478,0.3752,0.2754
2000-01-18,0.0668,0.28425685137027407,0.055,0.296263541896971,0.1012,0.0354
2000-01-19,0.8846,0.03340668133626725,0.3764,0.9345567101481318,0.3374,0.5348
2000-01-20,0.0826,0.4072814562912582,0.5128,0.989829759009507,0.5962,0.4666
2000-01-21,0.1618,0.7321464292858572,0.0906,0.6066769843024541,0.2166,0.3902
2000-01-24,0.675,0.6867373474694939,0.0832,0.12226398408136192,0.3698,0.2634
2000-01-25,0.1968,0.3198639727945589,0.821,0.1642715012160071,0.2126,0.0656
2000-01-26,0.4252,0.3102620524104821,0.9834,0.142604466062348,0.5004,0.9802
2000-01-27,0.756,0.8213642728545709,0.9692,0.6203847004200752,0.5428,0.8222
2000-01-28,0.9388,0.16963392678535708,0.0816,0.7061684722529294,0.5442,0.68
2000-01-31,0.1236,0.21344268853770754,0.1456,0.7643157196550961,0.1158,0.5016
2000-02-01,0.6182,0.8939787957591518,0.9754,0.6422728277691797,0.4974,0.6166
2000-02-02,0.1756,0.4928985797159432,0.4052,0.35772717223082023,0.9658,0.8522
2000-02-03,0.42,0.45149029805961194,0.995,0.46915763873535266,0.877,0.3686
2000-02-04,0.4284,0.5373074614922985,0.682,0.21733362812292725,0.5054,0.2814
2000-02-07,0.0444,0.1916383276655331,0.0964,0.2894096838381605,0.3544,0.5
2000-02-08,0.5444,0.6593318663732747,0.9642,0.9201857174441742,0.8686,0.6128
2000-02-09,0.057,0.016003200640128026,0.8392,0.7406588547424275,0.034,0.1928
2000-02-10,0.4362,0.6033206641328266,0.4632,0.10391333185938537,0.002,0.8814
2000-02-11,0.9738,0.23144628925785157,0.2286,0.09307981428255582,0.8902,0.2508
2000-02-14,0.399,0.1242248449689938,0.318,0.9104576608445721,0.4776,0.75
2000-02-15,0.3536,0.7619523904780956,0.162,0.13331859385363698,0.2068,0.6342
2000-02-16,0.9028,0.9785957191438288,0.6326,0.9562237453017909,0.6132,0.952
2000-02-17,0.9966,0.4938987797559512,0.7456,0.9440636745522883,0.3056,0.986
2000-02-18,0.3294,0.1950390078015603,0.75,0.06765421180632324,0.0542,0.4532
2000-02-21,0.1604,0.8087617523504701,0.3052,0.22485076276807428,0.184,0.0532
2000-02-22,0.2292,0.01980396079215843,0.243,0.1713464514702631,0.3734,0.2886
2000-02-23,0.8578,0.5789157831566313,0.7718,0.9920406809639619,0.5676,0.54
2000-02-24,0.7388,0.7735547109421884,0.8284,0.22551403935441078,0.8422,0.353
2000-02-25,0.2936,0.11862372474494899,0.5136,0.9719212911784214,0.9604,0.3926
2000-02-28,0.2502,0.13982796559311864,0.0324,0.07030731815166924,0.2228,0.3064
2000-02-29,0.6904,0.8891778355671134,0.6794,0.33185938536369664,0.5178,0.4026
2000-03-01,0.8708,0.05121024204840968,0.9758,0.9038248949812072,0.428,0.7782
